8	126		47.25	3	100		100		100
16	63		23.62	3	96.21	97.20	96.68
32	31.5	11.81	3	91.26	85.72	86.94
64	15.75	5.9		3	93.03	83.64	84.65
128	7.85	2.95	3	91.43	70.08	84.38
256	3.93	1.47	3	90.95	62.44	89.04
