mbs	2	3	4	5	6	7	8
"Task Level - Naïve"	488,7863938	487,8553958	487,5016388	484,6506496	484,4946598	480,84	483,7654964
"Task Level - SCA"	377,6621088	358,8540742	352,0809086	357,861808	352,5159336	349,5756208	347,5097428
"Task Level - RTMA"	375,513353	364,6515116	353,3901726	338,2139234	335,8194918	334,28	334,2369212
